npc_id;npc_name;tier;class
1;Staroxia;4;CLASS-SHADOWLORD
14;Sir Grunmeir;2;CLASS-KNIGHT
14;Sir Grunmeir;3;CLASS-KNIGHT
14;Sir Grunmeir;2;CLASS-MARAUDER
14;Sir Grunmeir;3;CLASS-MARAUDER
14;Sir Grunmeir;4;CLASS-LORD
14;Sir Grunmeir;4;CLASS-DEATHLORD
16;Aleister;1;CLASS-MAGE
16;Aleister;2;CLASS-SORCERER
16;Aleister;3;CLASS-SORCERER
16;Aleister;2;CLASS-BATTLEMAGE
16;Aleister;3;CLASS-BATTLEMAGE
16;Aleister;4;CLASS-WIZARD
16;Aleister;4;CLASS-WARLOCK
17;Seer Paulus;1;CLASS-PRIEST
17;Seer Paulus;2;CLASS-CELESTIAL
17;Seer Paulus;3;CLASS-CELESTIAL
17;Seer Paulus;2;CLASS-PALADIN
17;Seer Paulus;3;CLASS-PALADIN
17;Seer Paulus;4;CLASS-STARGAZER
17;Seer Paulus;4;CLASS-CRUSADER
56;;2;CLASS-SAMURAI
56;;3;CLASS-SAMURAI
56;;2;CLASS-IMPERIAL
56;;3;CLASS-IMPERIAL
56;;2;CLASS-SHUGENJA
56;;3;CLASS-SHUGENJA
56;;2;CLASS-MONK
56;;3;CLASS-MONK
56;;2;CLASS-BUDOKA
56;;3;CLASS-BUDOKA
56;;4;CLASS-HATAMOTO
56;;4;CLASS-WARLORD
56;;4;CLASS-KENJASAI
56;;4;CLASS-SHAOLINMASTER
56;;4;CLASS-NINJALORD
58;Elvithra;2;CLASS-VALKYRIE
58;Elvithra;3;CLASS-VALKYRIE
58;Elvithra;2;CLASS-ENCHANTRESS
58;Elvithra;3;CLASS-ENCHANTRESS
58;Elvithra;4;CLASS-WARWITCH
60;Deliah Irons;1;CLASS-THIEF
60;Deliah Irons;2;CLASS-HUNTER
60;Deliah Irons;3;CLASS-HUNTER
60;Deliah Irons;2;CLASS-TRICKSTER
60;Deliah Irons;3;CLASS-TRICKSTER
60;Deliah Irons;4;CLASS-RANGERLORD
60;Deliah Irons;4;CLASS-CABALIST
61;;2;CLASS-SAMURAI
61;;3;CLASS-SAMURAI
61;;2;CLASS-IMPERIAL
61;;3;CLASS-IMPERIAL
61;;2;CLASS-SHUGENJA
61;;3;CLASS-SHUGENJA
61;;2;CLASS-MONK
61;;3;CLASS-MONK
61;;2;CLASS-BUDOKA
61;;3;CLASS-BUDOKA
61;;4;CLASS-HATAMOTO
61;;4;CLASS-WARLORD
61;;4;CLASS-KENJASAI
61;;4;CLASS-SHAOLINMASTER
61;;4;CLASS-NINJALORD
62;Lady Chana;2;CLASS-VALKYRIE
62;Lady Chana;3;CLASS-VALKYRIE
62;Lady Chana;2;CLASS-ENCHANTRESS
62;Lady Chana;3;CLASS-ENCHANTRESS
62;Lady Chana;4;CLASS-WARWITCH
64;Sir Nil-Galand;1;CLASS-FIGHTER
64;Sir Nil-Galand;2;CLASS-KNIGHT
64;Sir Nil-Galand;3;CLASS-KNIGHT
64;Sir Nil-Galand;2;CLASS-MARAUDER
64;Sir Nil-Galand;3;CLASS-MARAUDER
64;Sir Nil-Galand;4;CLASS-LORD
64;Sir Nil-Galand;4;CLASS-DEATHLORD
65;Orlan Drey;1;CLASS-PRIEST
65;Orlan Drey;2;CLASS-CELESTIAL
65;Orlan Drey;3;CLASS-CELESTIAL
65;Orlan Drey;2;CLASS-PALADIN
65;Orlan Drey;3;CLASS-PALADIN
65;Orlan Drey;4;CLASS-STARGAZER
65;Orlan Drey;4;CLASS-CRUSADER
66;;1;CLASS-MAGE
66;;2;CLASS-SORCERER
66;;3;CLASS-SORCERER
66;;2;CLASS-BATTLEMAGE
66;;3;CLASS-BATTLEMAGE
66;;4;CLASS-WIZARD
66;;4;CLASS-WARLOCK
90;;1;CLASS-THIEF
90;;2;CLASS-HUNTER
90;;3;CLASS-HUNTER
90;;2;CLASS-TRICKSTER
90;;3;CLASS-TRICKSTER
90;;4;CLASS-RANGERLORD
90;;4;CLASS-CABALIST
