file;key;command;state
default.kbd;K_UP;+forward;active
default.kbd;w;+forward;active
default.kbd;K_DOWN;+back;active
default.kbd;s;+back;active
default.kbd;K_RIGHT;+moveright;active
default.kbd;d;+moveright;active
default.kbd;K_LEFT;+moveleft;active
default.kbd;a;+moveleft;active
default.kbd;K_NUMPAD6;+lookright;active
default.kbd;K_NUMPAD4;+lookleft;active
default.kbd;K_PGUP;+lookup;active
default.kbd;K_PGDN;+lookdown;active
default.kbd;K_NUMPAD0;jump;active
default.kbd;K_SPACE;jump;active
default.kbd;K_RSHIFT;run_toggle;active
default.kbd;K_LSHIFT;run_toggle;active
default.kbd;e;realtime_turnbase;active
default.kbd;c;group_party;active
default.kbd;l;cam_swinglock;active
default.kbd;q;attack_mode;active
default.kbd;f;split_party;active
default.kbd;r;pc_kill;active
default.kbd;K_RETURN;hotkey_talk;active
default.kbd;K_ESCAPE;quit_game;active
default.kbd;?;devstats;active
default.kbd;m;mouse_menu;active
default.kbd;v;cam_toggle;active
default.kbd;K_RCONTROL;+safemode_override;active
default.kbd;K_LCONTROL;+safemode_override;active
default.kbd;K_END;+cam_swingright;active
default.kbd;K_DEL;+cam_swingleft;active
default.kbd;K_TILDE;centerview;active
default.kbd;z;cam_move;active
default.kbd;K_SUBTRACT;+viewdistin;active
default.kbd;K_ADD;+viewdistout;active
cheats.kbd;K_F9;debug;active
cheats.kbd;g;genenc;active
cheats.kbd;t;mon_freeze;active
cheats.kbd;y;fly;active
cheats.kbd;1;remote_cyc;commented
cheats.kbd;2;remote_off;commented
cheats.kbd;i;mon_passive;commented
cheats.kbd;b;weather;commented
cheats.kbd;u;+d_modelmip;commented
cheats.kbd;h;pc_kill;commented
CHEATS.KBD;K_F9;debug;active
CHEATS.KBD;g;genenc;active
CHEATS.KBD;t;mon_freeze;active
CHEATS.KBD;y;fly;active
CHEATS.KBD;1;remote_cyc;commented
CHEATS.KBD;2;remote_off;commented
CHEATS.KBD;i;mon_passive;commented
CHEATS.KBD;b;weather;commented
CHEATS.KBD;u;+d_modelmip;commented
CHEATS.KBD;h;pc_kill;commented
