dialogue_topic;npc_count
ALTOR VARE ROSTRUM;1
ASK ABOUT ARGALIA OF ERYLDORN;1
AVAT DEMONICUM;1
BAIL OUT DERLINGER;1
BARGAIN FOR AGILITY;1
BARGAIN FOR DEXTERITY;1
BARGAIN FOR INTELLECT;1
BARGAIN FOR STRENGTH;1
BARGAIN FOR VITALITY;1
BATTLEMAGE CLASS;2
BUDOKA CLASS;2
BUY SCROLL OF DISPEL MAGIC;1
BUY TICKET: GLADIATOR   - 500 GOLD;1
BUY TICKET: SKULK BLADE - 200 GOLD;1
BUY TICKET: SWAMP BEAST -  50 GOLD;1
CABALIST CLASS;2
CAPTAIN OKATTA IS TROUBLE;1
CELESTIAL CLASS;2
CELESTIAL GUIDANCE;2
CRUSADER CLASS;2
DEAD GOAT ALE - 5 GOLD;1
DEATHLORD CLASS;2
DRINK ELVEN TEA;1
DRINK RED GHAR'S ALE;1
ELLOWYN ESCAPED FARGROVE;1
EMMINDOR SENDS REGARDS;1
ENCHANTRESS CLASS;2
FIGHTER TRAINING;2
GIVE ALEISTER'S LETTER;1
GIVE BRAE WITCHES PAINTING;2
GIVE CUSTARD'S MAP;2
GIVE DHARA'S SPECIAL PACKAGE;1
GIVE DRAGON EGG;2
GIVE FLASK TO ERLINMIR;1
GIVE IDOL OF DEATH;1
GIVE MARA'S LETTER FOR VARTUGG;1
GIVE STAFF OF SCORCHING;2
GIVE SWORD OF STRIKING;1
GIVE THUNDERIN' HAMMER;1
GIVE TOTEM OF THE TREE;1
HAPPY JACK BREW - 15 GOLD;1
HATAMOTO CLASS;2
HELP LORD DAVENMOR AND FARGROVE;1
HUNTER CLASS;2
I AM LOST AND I NEED HELP;1
I BRING NEWS OF THE ARGALIA;1
I HAVE GALDRYN'S HORN;1
I NEED THE TOTEM OF THE TREE;1
I NEED YOUR BLOOD TO FIND ELLOWYN;1
I SEEK A BARGAIN WITH VORAATUS;1
I SEEK AUDIENCE WITH EMMINDOR;1
I SEEK ELLOWYN OF DAVENMOR;1
I SEEK ELLOWYN, DAVENMOR DAUGHTER;1
I SEEK SISTER DHARA;1
I SEEK THE COUNCIL OF ELDERS;1
I SEEK THE LADY ELLOWYN;1
I SEEK THE LOST EAGLE;1
I SEEK THE WIZARD EMMINDOR;6
I SEEK VALDANE GRAEMARE;1
I SEEK VALDANE, LOVER OF ELLOWYN;1
I WALK THE PATH OF THE TIGER;1
I WANT TO SEE VARTUGG;1
I WAS SENT BY LORD GRAEMARE;1
IMPERIAL CLASS;2
IRYNTHABL;1
IT IS THE DAY OF DAYS;1
KENJASAI CLASS;2
KICK 'N DA HEAD STUFF - 25 GOLD;1
KNIGHT CLASS;2
LESSONS OF THE MASTER;2
LET ME ENTER HEREIN;1
LET ME PASS;1
LORD CLASS;2
MAKE DONATION;2
MARAUDER CLASS;2
MONK CLASS;2
NARAKO WAITS AT THE INN;1
NINJA LORD CLASS;2
PALADIN CLASS;2
PAY JAIL FINE;1
PETITION LORD GALEBRIAND;1
RANGER LORD CLASS;2
RECLAIM VARTUGG'S BARGAIN;1
RENT A ROOM;2
RETURN SWORD OF FLAME;1
SAMURAI CLASS;2
SECRETS OF THE SISTERHOOD;2
SELL THUNDERIN' HAMMER TO ME;1
SHAOLEI MASTER CLASS;2
SHARIA HELPED ELLOWYN ESCAPE;1
SHOW ALEISTER'S LETTER;2
SHOW DAVENMOR'S ORDERS;3
SHOW FATHIEN PASS;2
SHOW GALDRYN'S HORN;2
SHOW SUMMONS FROM AUGUSTUS;2
SHOW THE ARGALIA OF ERYLDORN;1
SHUGENJA CLASS;2
SORCERER CLASS;2
STARGAZER CLASS;2
STUDY MAGIC;2
SUMMON THE FIEND AGULA;1
TELL FORTUNE;1
TELL ME ABOUT ELLOWYN;1
TRADE;17
TRICKS AND TRAPS;2
TRICKSTER CLASS;2
VALKYRIE CLASS;2
WAR WITCH CLASS;2
WARLOCK CLASS;2
WARLORD CLASS;2
WHERE DID YOU TAKE ELLOWYN;1
WIZARD CLASS;2
