slot;param_name
0;!STATE
1;NAVPNT
2;SFXREC
3;DOOR
4;SPEED
5;!STATE
6;NAVPNT
7;SFXREC
8;MSG
9;TIME
10;UNUSED
11;!STATE
12;WEATHERIF0
13;WEATHERIF1
14;MONREC
15;XTILE
16;YTILE
17;ZTILE
18;BSPNUM
19;MONINIT
20;MAXSLOT
21;MAXCOUNT
22;ABSFLAG
23;BSPNUM
24;DESTNAV
25;LASTNAV
26;BSPNUM
27;DESTNAV
28;LASTNAV
29;DOOR
30;SPEED
31;!STATE
32;NAVPNT
33;DELAY
34;SFXREC
35;DOORA
36;DOORB
37;SPEED
38;!STATE
39;NAVPNT
40;SFXREC
41;MONA
42;MONB
43;MONC
44;MOND
45;!STATE
46;STATUS
47;!STATE
48;!SWITCH
49;STATUS
50;!SWITCH
51;EFX
52;SFX
53;SPELL
54;OBJNUM
55;YOFFSET
56;!BOUNDNUM
57;!BOUNDNUM
58;!SWITCH
59;!SWITCH
60;POOL
61;BSPNUM
62;RADIUS
63;XTILE
64;YTILE
65;ZTILE
66;FIRE
67;BSPNUM
68;RADIUS
69;XTILE
70;YTILE
71;ZTILE
72;PROPID
73;TWIDTYPE
74;VALUE
75;TDATA
76;ITEM
77;XTILE
78;YTILE
79;ZTILE
80;BSPNUM
81;!STATE
82;!BOUNDNUM
83;DOOR
84;SPEED
85;!STATE
86;NAVPNT
87;OPENDELAY
88;CLOSEDELAY
89;SFXREC
90;!STATE
91;!BOUNDNUM
92;DOOR
93;SPEED
94;NAVPNT
95;OPENDELAY
96;CLOSEDELAY
97;SFXREC
98;!STATE
99;DOORA
100;DOORB
101;SPEED
102;NAVPNT
103;!BOUNDNUM
104;!SWITCH
105;STATUS
106;SEGMENT
107;BSPNUM
108;SEGSWITCH
109;SEGSTATUS
110;DELAY
111;SFXREC
112;XPOS
113;YPOS
114;ZPOS
115;DOORA
116;DOORB
117;SPEED
118;!STATE
119;NAVPNT
120;SFXREC
121;!STATE
122;DOORA
123;DOORB
124;SPEED
125;NAVPNT
126;!BOUNDNUM
127;!SWITCH
128;STATUS
129;SEGMENT
130;BSPNUM
131;SEGSWITCH
132;SEGSTATUS
133;DELAY
134;SFXREC
135;XPOS
136;YPOS
137;ZPOS
138;DOORA
139;DOORB
140;SPEED
141;!STATE
142;NAVPNT
143;SFXREC
144;DOOR
145;SPEED
146;!STATE
147;NAVPNT
148;!STATEACT
149;SFXREC
150;DOORA
151;DOORB
152;SPEED
153;!STATE
154;NAVPNT
155;!STATEACT
156;SFXREC
157;USEITEM
158;DAMAGE
159;POISON
160;ITEM
161;XTILE
162;YTILE
163;ZTILE
164;BSPNUM
165;!SWITCH
166;STATUS
167;DELAY
168;MSGONE
169;MSGTWO
170;DOOR
171;SPEED
172;NAVPNT
173;MAXMOVE
174;MOVEACCUM
175;MOVEDIR
176;SFXREC
177;ITEM
178;XTILE
179;YTILE
180;ZTILE
181;BSPNUM
182;!WOCCUPIED
183;YROT
184;NOSELECT
185;ITEM
186;XTILE
187;YTILE
188;ZTILE
189;BSPNUM
190;!WOCCUPIED
191;XITEM
192;YROT
193;NOSELECT
194;DOOR
195;SPEED
196;!STATE
197;NAVPNT
198;SFXREC
199;!WOCCA
200;ITEMA
201;!WOCCB
202;ITEMB
203;!WOCCC
204;ITEMC
205;!WOCCD
206;ITEMD
207;!STATE
208;STATUS
209;!STATERESET
210;STATUSRESET
211;ITEM
212;XTILE
213;YTILE
214;ZTILE
215;BSPNUM
216;!WOCCUPIED
217;XITEM
218;!STATE
219;STATUS
220;YROT
221;NOSELECT
222;EFX
223;SFX
224;SPELL
225;OBJNUM
226;YOFFSET
227;XTILE
228;YTILE
229;ZTILE
230;BSPNUM
231;ITEMA
232;!STATEA
233;!EVENTA
234;ITEMB
235;!STATEB
236;!EVENTB
237;ITEMC
238;!STATEC
239;!EVENTC
240;STATUS
241;!EVENTA
242;!EVENTB
243;!EVENTC
244;!EVENTD
245;!STATE
246;STATUS
247;DOOR
248;SPEED
249;!STATEA
250;!EVENTA
251;!STATEC
252;!EVENTC
253;STATUS
254;!SWITCH
255;SWSTATUS
256;NAVPNT
257;DELAY
258;SFXREC
259;!STATETOTEST
260;!STATE
261;STATUS
262;!SWITCH
263;SWSTATUS
264;!STATE
265;BSPNUM
266;NAVPNT
267;SPEED
268;DOOR
269;SPEED
270;!STATE
271;NAVPNT
272;DELAY
273;!SWITCH
274;SWSTATUS
275;SFXREC
276;DOORA
277;DOORB
278;SPEED
279;!STATE
280;NAVPNT
281;DELAY
282;!SWITCH
283;SWSTATUS
284;SFXREC
285;!STATEA
286;!STATEB
287;!STATEC
288;!STATED
289;COMBO
290;!STATE
291;STATUS
292;BSPNUM
293;NAVPNT
294;SPEED
295;!STATE
296;BSPNUM
297;NAVPNT
298;SPEED
299;!STATE
300;XTILE
301;YTILE
302;ZTILE
303;BSPNUM
304;GROUND
305;OBJNUM
306;!BOUNDNUM
307;!STATEA
308;!STATE
309;STATUSOFF
310;STATUSON
311;!SWITCH
312;SWSTATUSOFF
313;SWSTATUSON
314;!STATEA
315;BSPNUM
316;NAVPNT
317;SPEED
318;!STATEB
319;!STATEA
320;BSPNUM
321;NAVPNT
322;SPEED
323;!STATEB
324;!STATEA
325;BSPNUM
326;NAVPNT
327;SPEED
328;!STATEB
329;BSPNUM
330;NAVPNT
331;BSPNUM
332;NAVPNT
333;!STATE
334;BSPNUM
335;NAVPNT
336;!STATE
337;!STATE
338;!EVENTA
339;!STATE
340;!EVENTA
341;!EVENTB
342;!SWITCH
343;!STATE
344;!STATE
345;!SWITCH
346;!STATE
347;!EVENTA
348;PROPID
349;!STATE
350;ANIMON
351;ANIMOFF
352;PROPIDA
353;PROPIDB
354;EFX
355;SFX
356;SPELL
357;OBJNUM
358;YOFFSET
359;!SWITCHA
360;!SWITCHB
361;!SWITCHC
362;!SWITCHD
363;!SWITCHE
364;!SWITCHF
365;!SWITCHG
366;!STATE
367;STATUS
368;!SWITCHRESET
369;RESETSTATUS
370;!STATEA
371;!STATEB
372;!STATEC
373;!STATED
374;!STATEE
375;!STATEF
376;!STATETOGGLE
377;STATUS
378;SFX
379;!STATE
380;DOOR
381;SPEED
382;NAVPNT
383;!BOUNDNUM
384;!SWITCH
385;STATUS
386;SEGMENT
387;BSPNUM
388;SEGSWITCH
389;SEGSTATUS
390;DELAY
391;SFXREC
392;XPOS
393;YPOS
394;ZPOS
395;!STATE
396;DOOR
397;SPEED
398;NAVPNT
399;!BOUNDNUM
400;!SWITCH
401;STATUS
402;SEGMENT
403;BSPNUM
404;SEGSWITCH
405;SEGSTATUS
406;DELAY
407;SFXREC
408;XPOS
409;YPOS
410;ZPOS
411;DOOR
412;SPEED
413;!STATE
414;NAVPNT
415;SFXREC
416;DOOR
417;SPEED
418;!STATE
419;NAVPNT
420;SFXREC
421;DOORA
422;DOORB
423;SPEED
424;!STATE
425;NAVPNT
426;SFXREC
427;BSPNUM
428;NAVPNT
429;SPEED
430;PROPID
431;ITEMA
432;XPOLYA
433;!STATEA
434;ITEMB
435;XPOLYB
436;!STATEB
437;ITEMC
438;XPOLYC
439;!STATEC
440;STATESTATUS
441;XPOLYSTATUS
442;!STATE
443;STATUS
444;ITEMA
445;XTILE
446;YTILE
447;ZTILE
448;BSPNUM
449;!WOCC
450;YROT
451;NOSELECT
452;!EVENT
453;ITEMA
454;ITEMB
455;ITEMC
456;ITEMD
457;ITEME
458;XTILE
459;YTILE
460;ZTILE
461;BSPNUM
462;!WOCC
463;YROT
464;NOSELECT
465;!EVENT
466;ITEMA
467;ITEMB
468;!WOCCA
469;!WOCCB
470;!WOCCC
471;!WOCCD
472;!WOCCE
473;!WOCCF
474;NOITEM
475;!STATE
476;STATUS
477;BRIDGE
478;SPEED
479;!STATEA
480;!STATEB
481;NAVPNT
482;SFXREC
483;!EVENT
484;DELAY
485;!STATE
486;XTILE
487;YTILE
488;ZTILE
489;BSPNUM
490;GROUND
491;MONID
492;XTILE
493;YTILE
494;ZTILE
495;BSPNUM
496;GROUND
497;PROPIDA
498;PROPIDB
499;PROPIDC
500;PROPIDD
501;EFX
502;SFX
503;SPELL
504;OBJNUM
505;YOFFSET
506;XTILE
507;YTILE
508;ZTILE
509;BSPNUM
510;DELAY
511;!EVENT
512;DELAY
513;!STATE
514;!STATEA
515;!STATEB
516;!EVENTA
517;!EVENTB
518;DOOR
519;SPEED
520;DELAY
521;NAVPNT
522;SFXREC
523;MONREC
