id;cod_offset;primitive;description;param_count
0;0x0000;@OPENWCLOSE;Open a door, delay, then close the door;5
1;0x002E;@LOPENWCLOSEW;Repeat: open door, wait, close door, wait, until state=0;6
2;0x0070;@IFSTATEOPENELSECLOSE;If State=1 then open door else close door;5
3;0x00A2;@TEXTMSG;Display A Text Message;3
4;0x00AE;@SETWEATHER;Set Weather Conditions 0-Clear 1-Rain 2-Snow;3
5;0x00CC;@MAKEMONSTER;Generate Monsters;9
6;0x00E6;@GOTOBSPONLY;Teleport To BSPOnly;3
7;0x00F4;@GOTOBSPTERR;Teleport To TerrainBSP;3
8;0x0102;@IFSTATEOPENELSEWAITCLOSE;If State=1 then open door else wait & close door;6
9;0x013E;@IFSTATEDBLOPENELSECLOSE;If State=1 then open double-doors else close doors;6
10;0x0174;@RELEASEMONGROUP;Release Holding Monsters In Group;4
11;0x0184;@SETWSTATE;Set A World State;2
12;0x0190;@TOGGLEWSTATE;Toggle A World State;1
13;0x019A;@SETASWITCH;Set A Switch Status;2
14;0x01A6;@TOGGLESWITCH;Toggle A Switch Status;1
15;0x01B0;@OBJECTEFXINIT;Trigger Efx At ObjectBase+YOffset;5
16;0x01C2;@ENABLEBOUNDS;Enable BoundArea;1
17;0x01CC;@DISABLEBOUNDS;Disable BoundArea;1
18;0x01D6;@ENABLEASWITCH;Enable Switch;1
19;0x01E0;@DISABLEASWITCH;Disable Switch;1
20;0x01EA;@MAGICPOOL;Magic Pool;6
21;0x01FE;@MAGICFIRE;Magic Fire;6
22;0x0212;@TWIDDLEPROP;Twiddle A Prop;4
23;0x0222;@CREATEITEM;Create An Item In The World;5
24;0x0234;@ONSTATEBOUNDS;Enable/Disable BoundArea On State;2
25;0x0252;@IFSTATEWAITOPENWAITCLOSE;If State=1 then wait & open else wait & close door;7
26;0x0298;@ONNOTSTATEBOUNDS;Disable/Enable BoundArea (NOT) State;2
27;0x02B6;@WAITOPENWAITCLOSE;Wait & open else wait & close door;6
28;0x02EE;@SWITCHDDTOSEGMENT;If ALL in area then load in a New Segment, else flip switch;17
29;0x0358;@IFSTATEDDCLOSEELSEDDOPEN;If State=1 then close door else open door;6
30;0x038E;@OFFSWITCHDDTOSEGMENT;If ALL in area then load in a New Segment, else flip switch;17
31;0x03F8;@IFNOTSTATEDDOPEN;If State=1 then close door else open door;6
32;0x041C;@IFTWOSTATEOPENELSECLOSE;If !State1 exit, else if State2=1 open door : close door;6
33;0x045C;@IFTWOSTATEDBLOPENELSECLOSE;If !State1 exit, else if State2=1 open dbl-door : close doors;7
34;0x04A0;@SNAKEBASKET;Temple Snake Basket Dispenser;13
35;0x04F4;@MOVEENTITY;Move Entity Limited Distance;7
36;0x050E;@PLACEANITEM;Place USEITEM In The World At WOCCUPIED Destination;8
37;0x0548;@EXCHANGEITEM;Exchange XITEM In The World At WOCCUPIED With ITEM;9
38;0x0576;@IFSTATECLOSEELSEOPEN;If State=1 then close door else open door;5
39;0x05A8;@TESTOF4IDOLS;Test 4 Idols At WOCCUPIED+n with ITEM[n];12
40;0x05FC;@PLACEONEOFTWOITEMS;Place USEITEM In The World At WOCCUPIED Destination;11
41;0x067C;@DESTTOOBJEFXINIT;Trigger Efx From OBASE to ObjectBase+YOffset;9
42;0x0696;@SNAKEHEADTEST;If UseItem #1,#2,#3 then SetState/CallEvent #1,#2,#3;10
43;0x0734;@CALLEVENTLIST;Call a list of Events;6
44;0x0758;@SNAKELIFT;Activate snake head lift;12
45;0x07C6;@IFNOTSTATESETSTATEELSESETSWITCH;If State==0 SetState# else SetSwitch#;5
46;0x07E8;@IFNOTSTATEMOVETONAVPOINT;If State==0 move Monster/PC towards a NavPoint;4
47;0x0804;@IFSTATEOPENWAITSWOFF;If State=1 then open door, wait and set switch;8
48;0x0848;@IFSTATEDBLOPENWAITSWOFF;If State=1 then open double-doors, wait and set switch;9
49;0x0890;@TESTOF4STATECOMBO;Test 4 states via combination if equal set state;7
50;0x08A6;@MOVETONAVPOINT;Move Monster/PC towards a NavPoint;3
51;0x08B4;@IFSTATEMOVETONAVPOINT;If State==1 move Monster/PC towards a NavPoint;4
52;0x08D0;@IFSTATETELEPORT;If State==1 teleport to base destination;6
53;0x08F0;@IFOBJINBOUNDSTATEELSESWITCH;If Object in BoundArea Set State else Reset Switch;9
54;0x0940;@IFTWOSTATEMOVETONAVPOINT;If StateA==1 and StateB==1 move Monster/PC towards a NavPoint;5
55;0x096A;@IFNOTTWOSTATEMOVETONAVPOINT;If StateA==0 and StateB==0 move Monster/PC towards a NavPoint;5
56;0x0990;@IFSTATEANOTBMOVETONAVPOINT;If StateA==1 and StateB==0 move Monster/PC towards a NavPoint;5
