index;iname_id;name;type;slot;weapon_class;icon;icon_alt;model;model_flag;armor;price;hands;skill;reach;field_96;field_106;field_108;damage;tier
0;1;PUNCH;1;0;0;0;0;0;0;0;0;0;0;1536;3;0;0;0;0
1;2;BAT BITE;1;0;0;0;0;0;0;0;0;0;0;1152;2;0;0;0;0
2;3;CHAIN MITTENS;4;3;0;104;0;398;1;125;750;1;13;0;0;4;2;12;0
3;4;CHAIN BOOTS;4;4;0;105;0;383;1;175;750;1;13;0;0;4;2;12;0
4;5;BRACELET OF MIGHT;17;0;0;11;36;23;0;0;2500;4;0;0;0;0;0;0;0
5;6;DEVIL'S RING;17;1;0;9;37;22;0;0;500;3;0;0;0;0;0;0;0
6;7;HV.CHAIN MAIL;4;0;0;102;0;187;1;300;5000;4;13;0;0;10;6;28;0
25;26;BLOOD CANDLE;6;0;0;659;0;1214;0;0;0;0;0;0;0;0;0;0;0
26;27;CHAINMAIL ARMOR;4;0;0;102;0;187;1;250;1500;1;13;0;0;8;4;24;0
27;28;SHADOW STONE;6;1;0;131;0;134;0;0;250;0;0;0;0;0;0;0;0
28;29;LONGSWORD;1;0;1;1;0;14;0;0;25;1;3;1536;1;0;1;14;2
61;62;WYRM BITE;1;0;0;0;0;0;0;0;0;0;0;1792;0;0;0;0;3
62;63;ELVEN SPEAR;1;0;5;143;0;198;0;0;325;1;5;1792;0;0;2;14;1
63;64;TROLL SHIELD;5;0;0;18;0;32;0;5000;0;0;15;0;1;5;0;0;0
64;65;COPPER CLAW;1;0;0;0;0;0;0;0;0;0;0;1580;1;0;0;0;6
65;66;COPPER STING;1;0;0;0;0;0;0;0;0;0;0;1580;1;0;0;0;8
66;67;SKULL KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
67;68;GIANT BATTLE AXE;1;0;2;5;0;13;0;0;500;1;4;1812;0;0;4;46;3
69;70;WOODEN SHIELD;5;0;0;10;0;15;0;75;50;1;16;0;0;3;2;14;0
70;71;CLAW;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
71;72;CORRUPT SWORD;1;0;1;1;0;14;0;0;8;1;3;1536;1;0;1;14;1
72;73;ROTTED SHIELD;5;0;0;10;0;15;0;25;10;1;16;0;0;1;2;14;0
76;77;MAGUS STAFF;1;0;1;12;0;24;0;0;1000;3;2;1280;1;0;3;10;0
77;78;HELM OF HORNS;4;5;2;4;0;89;0;350;1250;4;13;0;0;5;6;26;0
78;79;DAGGER;1;0;1;3;0;19;0;0;5;1;2;1280;2;0;1;0;1
79;80;GOLD KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
80;81;GOLD;14;0;0;14;0;27;0;0;5;0;0;0;0;0;0;0;0
81;82;RUSTED DAGGER;1;0;1;3;0;19;0;0;2;1;2;1280;2;0;1;0;0
82;83;DRAGON STAFF;1;3;1;15;0;28;0;0;25000;7;5;1720;0;0;3;14;0
84;85;SHORT BOW;1;2;0;453;0;763;0;0;50;1;10;2560;0;0;1;10;0
85;86;WOOD ARROW;3;1;0;33;0;31;0;0;25;0;10;0;5;0;1;0;1
86;87;BATTLE SHIELD;5;0;0;18;0;32;0;200;250;2;16;0;1;6;5;24;0
87;88;DEMONDOG BITE;1;0;0;0;0;0;0;0;0;0;0;1536;0;0;0;0;2
88;89;CLAW;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
