npc_id;codefile;statements;self_name;quest_registers;dialogue_topics
1;CODEFILE.001;521;Staroxia;%QUEST_GRYMLOK | %QUEST_SHADOWGEM | %QUEST_SHADOWLORD | %QUEST_TOTEM;I SEEK ELLOWYN OF DAVENMOR | EMMINDOR SENDS REGARDS
2;CODEFILE.002;441;;;
3;CODEFILE.003;341;Vartugg;%QUEST_BLOODVIAL | %QUEST_CIRCLESTONES | %QUEST_TOMBENTRY | %QUEST_VALDANE | %QUEST_VORAATUS;
4;CODEFILE.004;87;;;
5;CODEFILE.005;216;;%QUEST_MARA;
6;CODEFILE.006;359;Lord Graemare of ~Rothn~;%QUEST_VALDANE;I SEEK THE LADY ELLOWYN
7;CODEFILE.007;92;;;
8;CODEFILE.008;123;;;
9;CODEFILE.009;434;;%QUEST_SEANCE;
10;CODEFILE.010;89;;;
11;CODEFILE.011;401;;;DRINK RED GHAR'S ALE | RENT A ROOM
12;CODEFILE.012;655;;;
13;CODEFILE.013;410;;%QUEST_GILEAH | %QUEST_MARA | %QUEST_SEANCE | %QUEST_SISTERGUILD | %QUEST_VALDANE;WHERE DID YOU TAKE ELLOWYN | I SEEK THE LOST EAGLE
14;CODEFILE.014;779;Sir Grunmeir;%QUEST_DEATHLORD | %QUEST_FIGHTGUILD | %QUEST_FIGHTJOIN | %QUEST_FIGHTTWO | %QUEST_KNIGHT | %QUEST_LORD | %QUEST_MARAUDER;TRADE | FIGHTER TRAINING | KNIGHT CLASS | MARAUDER CLASS | LORD CLASS | DEATHLORD CLASS
15;CODEFILE.015;120;;%QUEST_THIEFFREE;
16;CODEFILE.016;965;Aleister;%QUEST_ALEISTERLETTER | %QUEST_BATTLEMAGE | %QUEST_HORNRETURN | %QUEST_MAGEGUILD | %QUEST_MAGEJOIN | %QUEST_MAGETWO | %QUEST_SORCERER | %QUEST_WARLOCK | %QUEST_WIZARD;TRADE | STUDY MAGIC | SORCERER CLASS | BATTLEMAGE CLASS | WIZARD CLASS | WARLOCK CLASS | GIVE STAFF OF SCORCHING | BUY SCROLL OF DISPEL MAGIC
17;CODEFILE.017;1038;Seer Paulus;%QUEST_AUGUSTUS | %QUEST_CELESTIAL | %QUEST_CRUSADER | %QUEST_GALDRYNHORN | %QUEST_PALADIN | %QUEST_PRIESTGUILD | %QUEST_PRIESTJOIN | %QUEST_PRIESTTWO | %QUEST_STARGAZER;SHOW SUMMONS FROM AUGUSTUS | TRADE | CELESTIAL GUIDANCE | MAKE DONATION | CELESTIAL CLASS | PALADIN CLASS | STARGAZER CLASS | CRUSADER CLASS
18;CODEFILE.018;398;here to serve;%QUEST_GALDRYNHORN;
19;CODEFILE.019;302;;%QUEST_CARDONE | %QUEST_CARDTHR | %QUEST_CARDTWO;TELL FORTUNE
20;CODEFILE.020;246;;;SHOW SUMMONS FROM AUGUSTUS
21;CODEFILE.021;415;;;
22;CODEFILE.022;117;;;
23;CODEFILE.023;62;;;
24;CODEFILE.024;517;;%QUEST_THIEFFREE;PAY JAIL FINE | BAIL OUT DERLINGER
25;CODEFILE.025;443;;%QUEST_THIEFFREE;
