statement;count
goto;9079
endif;8482
if;7671
setflag;2516
ignore;1670
onact;1637
msg;1605
interrupt;1322
blurbmsg;1026
findtarget;963
else;856
talkkey;811
setpflag;748
destnav;682
setcflag;680
disablelexiop;591
setmode;577
killlocq;515
killmsgq;485
delay;425
tradeflag;368
onreply;365
qa;354
setdest;326
setqflag;281
setwflag;276
setbflag;247
enablelexiop;233
attack;228
settflag;214
pcally;190
addlexiop;180
setpcdata;177
newmsg;162
clearlexiop;158
encrange;158
byerange;158
goodbye;158
onexprgoto;149
passive;147
subcflag;119
setclass;96
questclass;94
vulnerable;94
facedir;91
talkmode;89
setmbits;87
outmsg;83
setnpcpflag;78
setfade;77
greet;71
addflag;71
addtrainop;70
teleport;58
propanimate;55
addcflag;54
giveitem;53
vanish;41
playanim;37
takeitem;29
takegold;28
playefx;28
equipitem;27
expbonus;26
startwtimer;25
collide;23
showquest;22
heraldry;21
addmsg;20
tradepc;17
setdir;16
cleartrainop;14
trainpc;14
run;12
partysetpflag;11
cleardialog;11
priorityqa;11
jailhouse;11
givegold;11
subflag;11
flee;10
dropitem;8
fly;8
setglobalflag;7
maptag;4
castspell;3
npcaddnewkey;2
playsfx;1
fightfoe;1
suicide;1
