quest_register;references
%QUEST_ALEISTERLETTER;5
%QUEST_ARGALIA;27
%QUEST_AUGUSTUS;15
%QUEST_BATTLEMAGE;16
%QUEST_BIGBADMOG;17
%QUEST_BLOODVIAL;6
%QUEST_BUDOKA;16
%QUEST_BUSHIGUILD;8
%QUEST_BUSHITWO;24
%QUEST_CABALIST;12
%QUEST_CARDONE;5
%QUEST_CARDTHR;6
%QUEST_CARDTWO;6
%QUEST_CELESTIAL;18
%QUEST_CIRCLESTONES;6
%QUEST_CRUSADER;12
%QUEST_CUSTARDMAP;10
%QUEST_DEATHLORD;12
%QUEST_DHARA;4
%QUEST_DRAGONEGG;15
%QUEST_ELVITHRA;11
%QUEST_ENCHANTRESS;16
%QUEST_FIGHTGUILD;7
%QUEST_FIGHTJOIN;10
%QUEST_FIGHTTWO;20
%QUEST_FLASK;8
%QUEST_GALDRYNHORN;21
%QUEST_GILEAH;5
%QUEST_GRYMLOK;8
%QUEST_HATAMOTO;12
%QUEST_HORNRETURN;7
%QUEST_HUNTER;16
%QUEST_IMPERIAL;16
%QUEST_KENJASAI;12
%QUEST_KNIGHT;16
%QUEST_LORD;12
%QUEST_MAGEGUILD;11
%QUEST_MAGEJOIN;10
%QUEST_MAGETWO;24
%QUEST_MALOKAN;12
%QUEST_MARA;4
%QUEST_MARAUDER;16
%QUEST_MONK;16
%QUEST_NARAKO;40
%QUEST_NINJALORD;12
%QUEST_OKOTTA;2
%QUEST_PALADIN;16
%QUEST_PRIESTGUILD;10
%QUEST_PRIESTJOIN;14
%QUEST_PRIESTTWO;24
%QUEST_RANGERLORD;12
%QUEST_SAMURAI;16
%QUEST_SEANCE;18
%QUEST_SHADOWGEM;5
%QUEST_SHADOWLORD;9
%QUEST_SHAOLINMASTER;12
%QUEST_SHARIA;16
%QUEST_SHUGENJA;16
%QUEST_SISTERGUILD;17
%QUEST_SISTERJOIN;10
%QUEST_SISTERTWO;20
%QUEST_SORCERER;16
%QUEST_STARGAZER;12
%QUEST_THIEFFREE;18
%QUEST_THIEFGUILD;7
%QUEST_THIEFJOIN;8
%QUEST_THIEFTWO;18
%QUEST_TOMBENTRY;8
%QUEST_TOTEM;7
%QUEST_TRICKSTER;18
%QUEST_VALDANE;23
%QUEST_VALKYRIE;16
%QUEST_VAMPI;13
%QUEST_VETRIAN;15
%QUEST_VORAATUS;11
%QUEST_WARLOCK;12
%QUEST_WARLORD;12
%QUEST_WARWITCH;12
%QUEST_WIZARD;12
