group;region;file;bytes;count_u32;avg_bytes_per_record
TRIG;00;D6TRIG00.DAT;73968;401;184.449
TRIG;01;D6TRIG01.DAT;4;0;
TRIG;02;D6TRIG02.DAT;4;0;
TRIG;03;D6TRIG03.DAT;4;0;
TRIG;04;D6TRIG04.DAT;736;3;244.0
TRIG;05;D6TRIG05.DAT;7360;39;188.615
TRIG;06;D6TRIG06.DAT;3128;16;195.25
TRIG;07;D6TRIG07.DAT;920;4;229.0
TRIG;08;D6TRIG08.DAT;736;3;244.0
TRIG;09;D6TRIG09.DAT;16744;90;186.0
TRIG;10;D6TRIG10.DAT;920;4;229.0
TRIG;11;D6TRIG11.DAT;2024;10;202.0
TRIG;12;D6TRIG12.DAT;4232;22;192.182
TRIG;13;D6TRIG13.DAT;4;0;
TRIG;14;D6TRIG14.DAT;4048;21;192.571
TRIG;15;D6TRIG15.DAT;5888;31;189.806
TRIG;16;D6TRIG16.DAT;18768;101;185.782
TRIG;17;D6TRIG17.DAT;4;0;
TRIG;18;D6TRIG18.DAT;4;0;
TRIG;19;D6TRIG19.DAT;4;0;
TRIG;20;D6TRIG20.DAT;4;0;
TRIG;21;D6TRIG21.DAT;4;0;
TRIG;22;D6TRIG22.DAT;4;0;
TRIG;23;D6TRIG23.DAT;4;0;
TRIG;24;D6TRIG24.DAT;4;0;
TRIG;25;D6TRIG25.DAT;4;0;
TRIG;26;D6TRIG26.DAT;4;0;
TRIG;27;D6TRIG27.DAT;4;0;
TRIG;28;D6TRIG28.DAT;4;0;
TRIG;29;D6TRIG29.DAT;4;0;
TRIG;30;D6TRIG30.DAT;4;0;
TRIG;31;D6TRIG31.DAT;4;0;
TRIG;32;D6TRIG32.DAT;5336;28;190.429
TRIG;33;D6TRIG33.DAT;4;0;
TRIG;34;D6TRIG34.DAT;4;0;
TRIG;35;D6TRIG35.DAT;8832;47;187.83
TRIG;36;D6TRIG36.DAT;6624;35;189.143
TRIG;37;D6TRIG37.DAT;920;4;229.0
TRIG;38;D6TRIG38.DAT;4600;24;191.5
TRIG;39;D6TRIG39.DAT;8464;45;188.0
TRIG;40;D6TRIG40.DAT;17848;96;185.875
TRIG;41;D6TRIG41.DAT;5152;27;190.667
TRIG;42;D6TRIG42.DAT;15456;83;186.169
TRIG;43;D6TRIG43.DAT;12512;67;186.687
TRIG;44;D6TRIG44.DAT;12880;69;186.609
TRIG;45;D6TRIG45.DAT;91632;497;184.362
TRIG;46;D6TRIG46.DAT;21712;117;185.538
TRIG;47;D6TRIG47.DAT;55936;303;184.594
TRIG;48;D6TRIG48.DAT;15640;84;186.143
TRIG;49;D6TRIG49.DAT;29072;157;185.146
TRIG;50;D6TRIG50.DAT;20424;109;187.339
TRIG;51;D6TRIG51.DAT;4;0;
TRIG;52;D6TRIG52.DAT;4;0;
TRIG;53;D6TRIG53.DAT;4;0;
TRIG;54;D6TRIG54.DAT;4;0;
TRIG;55;D6TRIG55.DAT;4;0;
TRIG;56;D6TRIG56.DAT;4;0;
TRIG;57;D6TRIG57.DAT;4;0;
TRIG;58;D6TRIG58.DAT;4;0;
TRIG;59;D6TRIG59.DAT;4;0;
TRIG;60;D6TRIG60.DAT;4;0;
TRIG;61;D6TRIG61.DAT;4;0;
TRIG;62;D6TRIG62.DAT;4;0;
TRIG;63;D6TRIG63.DAT;4;0;
TRAP;00;D6TRAP00.DAT;2340;64;36.5
TRAP;01;D6TRAP01.DAT;4;0;
TRAP;02;D6TRAP02.DAT;4;0;
TRAP;03;D6TRAP03.DAT;4;0;
TRAP;04;D6TRAP04.DAT;4;0;
TRAP;05;D6TRAP05.DAT;108;2;52.0
TRAP;06;D6TRAP06.DAT;252;6;41.333
TRAP;07;D6TRAP07.DAT;4;0;
TRAP;08;D6TRAP08.DAT;4;0;
TRAP;09;D6TRAP09.DAT;468;12;38.667
TRAP;10;D6TRAP10.DAT;4;0;
TRAP;11;D6TRAP11.DAT;108;2;52.0
TRAP;12;D6TRAP12.DAT;4;0;
TRAP;13;D6TRAP13.DAT;4;0;
TRAP;14;D6TRAP14.DAT;4;0;
TRAP;15;D6TRAP15.DAT;4;0;
TRAP;16;D6TRAP16.DAT;612;16;38.0
