sfx_id;wav;sample_rate;load_mode;comment
0;;11025;;SFX_0
1;blizzard.wav;11025;resident;
2;conjure2.wav;11025;resident;
3;dud_4.wav;11025;resident;
4;light_1.wav;11025;resident;
5;spell_locuststart.wav;22050;resident;DLORDS LOCUST SWARM START
6;resurrect.wav;11025;resident;
7;time_2lp.wav;11025;resident;
8;BindingF.wav;11025;resident;
9;GALDRYNHORN.wav;11025;resident;DLORDS USE GALDRYN'S HORN
10;DARK_1.wav;11025;resident;DLORDS HEAL SFX_HEAL          10
11;spell_fireball.wav;22050;resident;DLORDS FIREBALL SFX_FIREBALL  11
12;spell_fire_jet.wav;22050;resident;DLORDS DRAGONSTAFF SFX_FIREJET 12
13;spell_fire_star.wav;22050;resident;DLORDS FIRESTAR SFX_FIRESTAR 13
14;spell_explosion_small_b.wav;22050;resident;DLORDS EXPLOSION SFX_EXPLOSION 14
15;HEARTBEAT.wav;11025;resident;DLORDS TIMEWARP SFX_HEARTBEAT 15
16;spell_magic_missile.wav;22050;resident;DLORDS MAGICMISSLE SFX_MAGICMISSILE 16
17;spell_fireup.wav;22050;resident;DLORDS FIRE_UP_HAND SFX_FIREUP 17
18;fire_loop_medium.wav;22050;resident;DLORDS FIRE_UP_LOOP SFX_FIRELOOP 18
19;spell_fire_staff_mod2.wav;22050;resident;DLORDS FIRESTAFF SFX_DRAGONSTAFF 19
20;spell_iceball.wav;22050;resident;DLORDS ICEBALL SFX_ICEBALL 20
21;ESHIELD06.wav;11025;resident;DAK ENERGY SHIELD SFX_21
22;ERROR1.wav;11025;resident;SFX_RQERROR   22  IN USE
23;cryptdoor-a-2.wav;11025;resident;SFX_RQWORKING 26
24;cryptdoor-a-2.wav;11025;resident;SFX_RQWORKING 26
25;BELL12.wav;11025;resident;SFX_RQREADY   25  IN USE
26;cryptdoor-a-2.wav;11025;resident;DLORDS BUTTON SFX_RQWORKING 26
27;spell_skillplus.wav;22050;resident;DLORDS - INTERFACE SKILL BOOST
28;spell_explosion_medium_A.wav;22050;resident;
29;spell_explosion_medium_B.wav;22050;resident;
30;spell_explosion_large_B.wav;22050;resident;
31;spell_locustloop.wav;22050;resident;
32;spell_poisonous_cloud.wav;22050;resident;
33;spell_dispel_undead.wav;22050;resident;
34;spell_heal_heavy.wav;22050;resident;
35;spell_magic_armor.wav;22050;resident;
36;spell_summon_monster_c.wav;22050;resident;
37;spell_time_slow.wav;22050;resident;
38;spell_weaken.wav;22050;resident;
39;spell_slow_monsters.wav;22050;resident;
40;spell_pain.wav;22050;resident;
41;spell_magic_fizzle_B.wav;22050;resident;
